probe_id,regulation,log2FoldChange,fold_change,fold_change_direction,pvalue,padj,significance,baseMean,mean_sd,mean_ns
7953901,Upregulated,0.9756263835761763,1.9664948166392606,1.97x ↑,5.544996300664004e-11,1.8866295413379206e-08,***,7.8254459922343855,8.313259184022474,7.337632800446298
8149137,Downregulated,-0.9694722440409063,1.9581241577396529,1.96x ↓,2.62021724017407e-08,2.4120796364556516e-06,***,9.821951174168092,9.33721505214764,10.306687296188546
8149126,Downregulated,-0.9671913643598433,1.9550308380820849,1.96x ↓,2.6314981836218105e-08,2.4120796364556516e-06,***,9.817732772456996,9.334137090277073,10.301328454636916
8149116,Downregulated,-0.9650304683906512,1.9521047477716509,1.95x ↓,2.637237317074719e-08,2.4120796364556516e-06,***,9.813588107433723,9.331072873238398,10.296103341629049
8151592,Upregulated,0.9489728238990107,1.930497684543192,1.93x ↑,6.040133009021408e-16,1.7125790458245365e-12,***,7.174389013155589,7.6488754251050945,6.699902601206084
8095694,Upregulated,0.8466717963865884,1.7983474655607896,1.80x ↑,2.958182619555303e-15,6.290575340484352e-12,***,5.563343768673205,5.9866796668664986,5.14000787047991
8148147,Upregulated,0.8338423408736029,1.7824261958707976,1.78x ↑,2.6780242033374543e-07,1.406128016888172e-05,***,4.7704718808161335,5.1873930512529345,4.353550710379332
8131067,Upregulated,0.7733233380869731,1.7092025068315666,1.71x ↑,3.056138988611004e-13,3.2494397796406497e-10,***,7.262212997682041,7.648874666725527,6.875551328638554
8161373,Downregulated,-0.7720125410213292,1.7076502729351404,1.71x ↓,7.252911604064568e-11,2.2608071438461396e-08,***,5.485109520884564,5.0991032503739,5.871115791395229
7961102,Upregulated,0.7708075873103875,1.7062246213362822,1.71x ↑,3.2496167539846203e-16,1.382062005469659e-12,***,6.010712324447901,6.3961161181030945,5.625308530792707
8125436,Upregulated,0.7682560950449746,1.703209728078186,1.70x ↑,9.7064080380669e-08,6.658282804177182e-06,***,5.72858811312622,6.112716160648707,5.344460065603732
8161554,Downregulated,-0.7608126063421192,1.6944447618195142,1.69x ↓,7.56267035607541e-11,2.2608071438461396e-08,***,5.491409921981276,5.111003618810217,5.871816225152336
7995237,Upregulated,0.7580550965836697,1.691209160870009,1.69x ↑,1.0530365851655644e-06,4.379996930939367e-05,***,7.622802449397082,8.001829997688917,7.2437749011052475
8149109,Downregulated,-0.729740836984873,1.6583411635923324,1.66x ↓,4.087453036113503e-05,0.0008757651265788779,***,5.531509313537116,5.166638895044679,5.896379732029552
7953977,Upregulated,0.7252841022185024,1.6532261652418827,1.65x ↑,1.1861434337220762e-09,2.1019450098416625e-07,***,5.271034724378413,5.633676775487664,4.908392673269161
8005225,Downregulated,-0.7248492714128547,1.652727955072046,1.65x ↓,3.0325731991752503e-08,2.6869862116859043e-06,***,5.590467582292451,5.228042946586023,5.952892217998878
8156706,Upregulated,0.7138389473791449,1.6401627156098773,1.64x ↑,7.908736767678811e-15,1.3454342989175194e-11,***,8.721047707065363,9.077967180754936,8.36412823337579
8062312,Upregulated,0.7012582728000192,1.6259222522461707,1.63x ↑,2.8978832268608367e-11,1.0717128142468816e-08,***,7.331874541788242,7.682503678188251,6.981245405388232
8021081,Upregulated,0.7003110313238885,1.624855058244574,1.62x ↑,1.8343738477648122e-10,4.875994984089841e-08,***,7.46478659564207,7.814942111304014,7.114631079980126
8092552,Upregulated,0.6993071780256503,1.6237248479681676,1.62x ↑,1.6646635288113406e-12,1.089202152005328e-09,***,6.313053021974373,6.662706610987198,5.963399432961547
8134257,Upregulated,0.6973390242884374,1.621511239976522,1.62x ↑,1.2959804224386742e-07,8.414969063559818e-06,***,5.23983775337752,5.588507265521739,4.891168241233301
8125447,Upregulated,0.6857485634011038,1.6085363776000308,1.61x ↑,1.370239607577776e-05,0.0003630921527120425,***,4.7478943194864325,5.090768601186984,4.405020037785881
8154363,Upregulated,0.6811830282587952,1.6034540689323795,1.60x ↑,1.4454373354025386e-08,1.6392542456086477e-06,***,7.871393850630738,8.211985364760135,7.53080233650134
7919153,Upregulated,0.664485088125423,1.5850024694779201,1.59x ↑,5.2188411243444235e-05,0.0010519303934519825,**,2.9486676223584,3.2809101664211116,2.6164250782956886
