Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide (GO:0061844)	4/65	1.036275e-05	2.352345e-03	0	0	3.433477e+01	3.940702e+02	DEFA4;PPBP;DEFA1;PF4V1
GO_Biological_Process_2023	Antimicrobial Humoral Response (GO:0019730)	4/100	5.691212e-05	6.459525e-03	0	0	2.177851e+01	2.128632e+02	DEFA4;PPBP;DEFA1;PF4V1
GO_Biological_Process_2023	Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	4/117	1.048612e-04	7.450656e-03	0	0	1.848626e+01	1.693872e+02	DEFA4;PPBP;DEFA1;PF4V1
GO_Biological_Process_2023	Cellular Response To Lipopolysaccharide (GO:0071222)	4/124	1.312891e-04	7.450656e-03	0	0	1.740175e+01	1.555388e+02	DEFA4;PPBP;DEFA1;PF4V1
GO_Biological_Process_2023	Response To Lipopolysaccharide (GO:0032496)	4/159	3.402417e-04	1.093982e-02	0	0	1.344856e+01	1.073982e+02	DEFA4;PPBP;DEFA1;PF4V1
GO_Biological_Process_2023	Striated Muscle Cell Development (GO:0055002)	2/14	3.855442e-04	1.093982e-02	0	0	8.310833e+01	6.533025e+02	TMOD1;MYL9
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	2/14	3.855442e-04	1.093982e-02	0	0	8.310833e+01	6.533025e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	MHC Class II Protein Complex Assembly (GO:0002399)	2/14	3.855442e-04	1.093982e-02	0	0	8.310833e+01	6.533025e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	2/18	6.447805e-04	1.626280e-02	0	0	6.231875e+01	4.578310e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381)	2/19	7.196786e-04	1.633670e-02	0	0	5.865000e+01	4.244328e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Hydrogen Peroxide Catabolic Process (GO:0042744)	2/20	7.985795e-04	1.647978e-02	0	0	5.538889e+01	3.950710e+02	HBZ;HBM
GO_Biological_Process_2023	Innate Immune Response In Mucosa (GO:0002227)	2/21	8.814668e-04	1.667441e-02	0	0	5.247105e+01	3.690774e+02	DEFA4;DEFA1
