Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	MHC Class II Protein Complex (GO:0042613)	2/15	4.442669e-04	2.908581e-02	0	0	7.671154e+01	5.921429e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	MHC Protein Complex (GO:0042611)	2/21	8.814668e-04	2.908581e-02	0	0	5.247105e+01	3.690774e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553)	2/27	1.461598e-03	2.908581e-02	0	0	3.986600e+01	2.602542e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Myofibril (GO:0030016)	2/29	1.686134e-03	2.908581e-02	0	0	3.690926e+01	2.356773e+02	TMOD1;MYL9
GO_Cellular_Component_2023	Secretory Granule Lumen (GO:0034774)	4/316	4.266460e-03	5.138842e-02	0	0	6.628205e+00	3.616992e+01	DEFA4;S100P;PPBP;DEFA1
GO_Cellular_Component_2023	Tertiary Granule (GO:0070820)	3/162	4.750874e-03	5.138842e-02	0	0	9.578616e+00	5.124011e+01	CLEC12A;PPBP;SIGLEC5
GO_Cellular_Component_2023	ER To Golgi Transport Vesicle Membrane (GO:0012507)	2/55	5.958078e-03	5.138842e-02	0	0	1.877830e+01	9.620138e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Coated Vesicle Membrane (GO:0030662)	2/55	5.958078e-03	5.138842e-02	0	0	1.877830e+01	9.620138e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Transport Vesicle Membrane (GO:0030658)	2/60	7.054671e-03	5.408581e-02	0	0	1.715517e+01	8.498785e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)	2/68	8.983781e-03	6.198809e-02	0	0	1.506970e+01	7.101345e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Tertiary Granule Membrane (GO:0070821)	2/72	1.002696e-02	6.289636e-02	0	0	1.420571e+01	6.538149e+01	CLEC12A;SIGLEC5
GO_Cellular_Component_2023	COPII-coated ER To Golgi Transport Vesicle (GO:0030134)	2/76	1.112134e-02	6.394771e-02	0	0	1.343514e+01	6.044319e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Late Endosome Membrane (GO:0031902)	2/85	1.376636e-02	6.784850e-02	0	0	1.197289e+01	5.131015e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Clathrin-Coated Endocytic Vesicle (GO:0045334)	2/85	1.376636e-02	6.784850e-02	0	0	1.197289e+01	5.131015e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Clathrin-Coated Vesicle Membrane (GO:0030665)	2/90	1.534224e-02	7.057431e-02	0	0	1.128977e+01	4.715902e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Golgi Lumen (GO:0005796)	2/100	1.871406e-02	7.595705e-02	0	0	1.013265e+01	4.031256e+01	DEFA4;DEFA1
GO_Cellular_Component_2023	trans-Golgi Network Membrane (GO:0032588)	2/100	1.871406e-02	7.595705e-02	0	0	1.013265e+01	4.031256e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Primary Lysosome (GO:0005766)	1/10	2.080714e-02	7.976070e-02	0	0	5.406233e+01	2.093542e+02	DEFA4
GO_Cellular_Component_2023	Muscle Myosin Complex (GO:0005859)	1/14	2.901116e-02	1.053563e-01	0	0	3.742026e+01	1.324705e+02	MYL9
GO_Cellular_Component_2023	Intracellular Organelle Lumen (GO:0070013)	5/856	3.262740e-02	1.125645e-01	0	0	3.034109e+00	1.038455e+01	ALAS2;GLRX5;DEFA4;PPBP;DEFA1
GO_Cellular_Component_2023	Azurophil Granule (GO:0042582)	2/155	4.198048e-02	1.318563e-01	0	0	6.472222e+00	2.052051e+01	DEFA4;DEFA1
GO_Cellular_Component_2023	Specific Granule (GO:0042581)	2/159	4.395210e-02	1.318563e-01	0	0	6.306051e+00	1.970423e+01	CLEC12A;DEFA4
GO_Cellular_Component_2023	Endocytic Vesicle Membrane (GO:0030666)	2/159	4.395210e-02	1.318563e-01	0	0	6.306051e+00	1.970423e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Cytoplasmic Vesicle Membrane (GO:0030659)	3/389	4.797826e-02	1.379375e-01	0	0	3.900359e+00	1.184542e+01	HLA-DRB5;HLA-DRB1;SIGLEC5
GO_Cellular_Component_2023	Nuclear Inner Membrane (GO:0005637)	1/31	6.313599e-02	1.691063e-01	0	0	1.620163e+01	4.475641e+01	IFI27
GO_Cellular_Component_2023	Endocytic Vesicle (GO:0030139)	2/196	6.372122e-02	1.691063e-01	0	0	5.093814e+00	1.402448e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Late Endosome (GO:0005770)	2/205	6.891328e-02	1.761117e-01	0	0	4.865764e+00	1.301546e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Cytosolic Small Ribosomal Subunit (GO:0022627)	1/41	8.265955e-02	2.012657e-01	0	0	1.214512e+01	3.027809e+01	RPS26P11
GO_Cellular_Component_2023	Small Ribosomal Subunit (GO:0015935)	1/42	8.458991e-02	2.012657e-01	0	0	1.184830e+01	2.926460e+01	RPS26P11
GO_Cellular_Component_2023	trans-Golgi Network (GO:0005802)	2/241	9.097393e-02	2.092400e-01	0	0	4.125314e+00	9.889129e+00	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Tertiary Granule Lumen (GO:1904724)	1/53	1.055640e-01	2.300444e-01	0	0	9.336773e+00	2.099316e+01	PPBP
GO_Cellular_Component_2023	Polymeric Cytoskeletal Fiber (GO:0099513)	2/265	1.066872e-01	2.300444e-01	0	0	3.744297e+00	8.379188e+00	TMOD1;HLA-DRB1
GO_Cellular_Component_2023	Secretory Granule Membrane (GO:0030667)	2/279	1.161723e-01	2.332348e-01	0	0	3.552527e+00	7.647457e+00	CLEC12A;SIGLEC5
GO_Cellular_Component_2023	Ficolin-1-Rich Granule Membrane (GO:0101003)	1/60	1.186661e-01	2.332348e-01	0	0	8.226126e+00	1.753351e+01	SIGLEC5
GO_Cellular_Component_2023	Specific Granule Lumen (GO:0035580)	1/61	1.205225e-01	2.332348e-01	0	0	8.088618e+00	1.711486e+01	DEFA4
