Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	CXCR Chemokine Receptor Binding (GO:0045236)	2/16	5.070582e-04	2.687408e-02	0	0	7.122857e+01	5.404030e+02	PPBP;PF4V1
GO_Molecular_Function_2023	MHC Class II Protein Complex Binding (GO:0023026)	2/25	1.252556e-03	3.319273e-02	0	0	4.333696e+01	2.896022e+02	HLA-DRB5;HLA-DRB1
GO_Molecular_Function_2023	Chemokine Activity (GO:0008009)	2/46	4.202445e-03	5.661816e-02	0	0	2.262955e+01	1.238309e+02	PPBP;PF4V1
GO_Molecular_Function_2023	Chemokine Receptor Binding (GO:0042379)	2/50	4.947592e-03	5.661816e-02	0	0	2.073958e+01	1.101034e+02	PPBP;PF4V1
GO_Molecular_Function_2023	Channel Activity (GO:0015267)	2/52	5.341336e-03	5.661816e-02	0	0	1.990800e+01	1.041642e+02	SLC14A1;RHD
GO_Molecular_Function_2023	Arylesterase Activity (GO:0004064)	1/5	1.045693e-02	6.486932e-02	0	0	1.216707e+02	5.548782e+02	CA1
GO_Molecular_Function_2023	Myosin Heavy Chain Binding (GO:0032036)	1/6	1.253548e-02	6.486932e-02	0	0	9.733171e+01	4.262343e+02	MYL4
GO_Molecular_Function_2023	Heme Binding (GO:0020037)	2/87	1.438774e-02	6.486932e-02	0	0	1.169000e+01	4.958172e+01	HBZ;HBM
GO_Molecular_Function_2023	CD4 Receptor Binding (GO:0042609)	1/7	1.460976e-02	6.486932e-02	0	0	8.110569e+01	3.427579e+02	HLA-DRB1
GO_Molecular_Function_2023	cAMP-dependent Protein Kinase Inhibitor Activity (GO:0004862)	1/8	1.667980e-02	6.486932e-02	0	0	6.951568e+01	2.845664e+02	PRKAR2B
GO_Molecular_Function_2023	Urea Transmembrane Transporter Activity (GO:0015204)	1/8	1.667980e-02	6.486932e-02	0	0	6.951568e+01	2.845664e+02	SLC14A1
GO_Molecular_Function_2023	MHC Class II Receptor Activity (GO:0032395)	1/9	1.874559e-02	6.486932e-02	0	0	6.082317e+01	2.418814e+02	HLA-DRB1
GO_Molecular_Function_2023	Carboxylic Ester Hydrolase Activity (GO:0052689)	2/104	2.014262e-02	6.486932e-02	0	0	9.733333e+00	3.800786e+01	CA1;CLC
GO_Molecular_Function_2023	N6-methyladenosine-containing RNA Binding (GO:1990247)	1/10	2.080714e-02	6.486932e-02	0	0	5.406233e+01	2.093542e+02	IGF2BP2
GO_Molecular_Function_2023	Ammonium Transmembrane Transporter Activity (GO:0008519)	1/10	2.080714e-02	6.486932e-02	0	0	5.406233e+01	2.093542e+02	RHD
GO_Molecular_Function_2023	Myosin II Binding (GO:0045159)	1/10	2.080714e-02	6.486932e-02	0	0	5.406233e+01	2.093542e+02	MYL4
GO_Molecular_Function_2023	cAMP-dependent Protein Kinase Regulator Activity (GO:0008603)	1/10	2.080714e-02	6.486932e-02	0	0	5.406233e+01	2.093542e+02	PRKAR2B
GO_Molecular_Function_2023	Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0097153)	1/11	2.286447e-02	6.732315e-02	0	0	4.865366e+01	1.838219e+02	CLC
GO_Molecular_Function_2023	Protein Kinase A Catalytic Subunit Binding (GO:0034236)	1/12	2.491757e-02	6.950691e-02	0	0	4.422838e+01	1.632992e+02	PRKAR2B
GO_Molecular_Function_2023	Hexose Transmembrane Transporter Activity (GO:0015149)	1/16	3.308797e-02	8.768312e-02	0	0	3.242764e+01	1.105324e+02	PPBP
GO_Molecular_Function_2023	Magnesium Ion Binding (GO:0000287)	2/155	4.198048e-02	1.007186e-01	0	0	6.472222e+00	2.052051e+01	S100P;PSPH
GO_Molecular_Function_2023	Lysophospholipase Activity (GO:0004622)	1/21	4.320703e-02	1.007186e-01	0	0	2.431463e+01	7.639055e+01	CLC
GO_Molecular_Function_2023	Actin Monomer Binding (GO:0003785)	1/23	4.722565e-02	1.007186e-01	0	0	2.210200e+01	6.747337e+01	MYL4
GO_Molecular_Function_2023	Glucose Transmembrane Transporter Activity (GO:0005355)	1/24	4.922878e-02	1.007186e-01	0	0	2.113998e+01	6.365833e+01	PPBP
GO_Molecular_Function_2023	mRNA 5'-UTR Binding (GO:0048027)	1/24	4.922878e-02	1.007186e-01	0	0	2.113998e+01	6.365833e+01	IGF2BP2
GO_Molecular_Function_2023	Protein Homodimerization Activity (GO:0042803)	4/662	4.940910e-02	1.007186e-01	0	0	3.087506e+00	9.286047e+00	DEFA4;TRIM58;S100P;PSPH
GO_Molecular_Function_2023	Cytokine Activity (GO:0005125)	2/178	5.377195e-02	1.055523e-01	0	0	5.619886e+00	1.642695e+01	PPBP;PF4V1
GO_Molecular_Function_2023	Actin Binding (GO:0003779)	2/183	5.647517e-02	1.068994e-01	0	0	5.463260e+00	1.570116e+01	TMOD1;MYL4
GO_Molecular_Function_2023	Protein Serine/Threonine Kinase Inhibitor Activity (GO:0030291)	1/32	6.510646e-02	1.189877e-01	0	0	1.567821e+01	4.282865e+01	PRKAR2B
GO_Molecular_Function_2023	Inorganic Cation Transmembrane Transporter Activity (GO:0022890)	1/35	7.099361e-02	1.254220e-01	0	0	1.429268e+01	3.780651e+01	RHD
GO_Molecular_Function_2023	Hydro-Lyase Activity (GO:0016836)	1/46	9.227181e-02	1.577550e-01	0	0	1.079295e+01	2.571979e+01	CA1
GO_Molecular_Function_2023	Metal Ion Binding (GO:0046872)	3/521	9.577742e-02	1.586313e-01	0	0	2.886843e+00	6.771749e+00	S100P;MYL9;PSPH
GO_Molecular_Function_2023	mRNA Binding (GO:0003729)	2/282	1.182328e-01	1.898890e-01	0	0	3.513929e+00	7.502589e+00	RPS26P11;IGF2BP2
