Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Striated Muscle Cell Development (GO:0055002)	2/14	2.372830e-04	1.653071e-02	0	0	1.072849e+02	8.954277e+02	TMOD1;MYL9
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	2/14	2.372830e-04	1.653071e-02	0	0	1.072849e+02	8.954277e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	MHC Class II Protein Complex Assembly (GO:0002399)	2/14	2.372830e-04	1.653071e-02	0	0	1.072849e+02	8.954277e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	2/18	3.973053e-04	1.715085e-02	0	0	8.044758e+01	6.299694e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381)	2/19	4.435893e-04	1.715085e-02	0	0	7.571157e+01	5.845397e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Hydrogen Peroxide Catabolic Process (GO:0042744)	2/20	4.923688e-04	1.715085e-02	0	0	7.150179e+01	5.445779e+02	HBZ;HBM
GO_Biological_Process_2023	Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)	2/26	8.370138e-04	2.490059e-02	0	0	5.361022e+01	3.798643e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)	2/28	9.715059e-04	2.490059e-02	0	0	4.948139e+01	3.432357e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Immunoglobulin Mediated Immune Response (GO:0016064)	2/30	1.115700e-03	2.490059e-02	0	0	4.594240e+01	3.123290e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	2/31	1.191416e-03	2.490059e-02	0	0	4.435595e+01	2.986314e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	One-Carbon Compound Transport (GO:0019755)	2/35	1.518228e-03	2.884633e-02	0	0	3.897165e+01	2.529343e+02	SLC14A1;HBZ
GO_Biological_Process_2023	Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)	2/44	2.391579e-03	3.796057e-02	0	0	3.060676e+01	1.847363e+02	HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023	Regulation Of Viral Entry Into Host Cell (GO:0046596)	2/44	2.391579e-03	3.796057e-02	0	0	3.060676e+01	1.847363e+02	TRIM58;HLA-DRB1
GO_Biological_Process_2023	Myofibril Assembly (GO:0030239)	2/46	2.611196e-03	3.796057e-02	0	0	2.921261e+01	1.737551e+02	TMOD1;MYL9
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Activation (GO:0051251)	2/47	2.724443e-03	3.796057e-02	0	0	2.856201e+01	1.686727e+02	HLA-DRB5;HLA-DRB1
