Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	MHC Class II Protein Complex (GO:0042613)	2/15	2.735057e-04	1.563591e-02	0	0	9.902730e+01	8.124385e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	MHC Protein Complex (GO:0042611)	2/21	5.436360e-04	1.563591e-02	0	0	6.773514e+01	5.091807e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553)	2/27	9.030433e-04	1.563591e-02	0	0	5.146323e+01	3.607438e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Myofibril (GO:0030016)	2/29	1.042394e-03	1.563591e-02	0	0	4.764636e+01	3.271511e+02	TMOD1;MYL9
GO_Cellular_Component_2023	ER To Golgi Transport Vesicle Membrane (GO:0012507)	2/55	3.711958e-03	3.711958e-02	0	0	2.424102e+01	1.356575e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Coated Vesicle Membrane (GO:0030662)	2/55	3.711958e-03	3.711958e-02	0	0	2.424102e+01	1.356575e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Transport Vesicle Membrane (GO:0030658)	2/60	4.401660e-03	3.772851e-02	0	0	2.214572e+01	1.201576e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669)	2/68	5.618569e-03	4.213926e-02	0	0	1.945357e+01	1.008021e+02	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	COPII-coated ER To Golgi Transport Vesicle (GO:0030134)	2/76	6.971853e-03	4.647902e-02	0	0	1.734350e+01	8.612566e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Late Endosome Membrane (GO:0031902)	2/85	8.652868e-03	4.719746e-02	0	0	1.545589e+01	7.341337e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Clathrin-Coated Endocytic Vesicle (GO:0045334)	2/85	8.652868e-03	4.719746e-02	0	0	1.545589e+01	7.341337e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Clathrin-Coated Vesicle Membrane (GO:0030665)	2/90	9.657557e-03	4.828778e-02	0	0	1.457405e+01	6.762379e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	trans-Golgi Network Membrane (GO:0032588)	2/100	1.181460e-02	5.452890e-02	0	0	1.308032e+01	5.805593e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Muscle Myosin Complex (GO:0005859)	1/14	2.286107e-02	9.797601e-02	0	0	4.796635e+01	1.812322e+02	MYL9
GO_Cellular_Component_2023	Endocytic Vesicle Membrane (GO:0030666)	2/159	2.822700e-02	1.095610e-01	0	0	8.140538e+00	2.904118e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Tertiary Granule (GO:0070820)	2/162	2.921626e-02	1.095610e-01	0	0	7.986694e+00	2.821723e+01	CLEC12A;PPBP
GO_Cellular_Component_2023	Endocytic Vesicle (GO:0030139)	2/196	4.135861e-02	1.459716e-01	0	0	6.575657e+00	2.094659e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Late Endosome (GO:0005770)	2/205	4.484305e-02	1.494768e-01	0	0	6.281265e+00	1.950073e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Nuclear Inner Membrane (GO:0005637)	1/31	4.994030e-02	1.577062e-01	0	0	2.076771e+01	6.223930e+01	IFI27
GO_Cellular_Component_2023	trans-Golgi Network (GO:0005802)	2/241	5.980258e-02	1.794077e-01	0	0	5.325415e+00	1.500013e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Cytosolic Small Ribosomal Subunit (GO:0022627)	1/41	6.552783e-02	1.829260e-01	0	0	1.556797e+01	4.242708e+01	RPS26P11
GO_Cellular_Component_2023	Small Ribosomal Subunit (GO:0015935)	1/42	6.707288e-02	1.829260e-01	0	0	1.518750e+01	4.103625e+01	RPS26P11
GO_Cellular_Component_2023	Polymeric Cytoskeletal Fiber (GO:0099513)	2/265	7.060384e-02	1.841839e-01	0	0	4.833558e+00	1.281217e+01	TMOD1;HLA-DRB1
GO_Cellular_Component_2023	Lytic Vacuole Membrane (GO:0098852)	2/287	8.102388e-02	2.013737e-01	0	0	4.455461e+00	1.119662e+01	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Tertiary Granule Lumen (GO:1904724)	1/53	8.390570e-02	2.013737e-01	0	0	1.196815e+01	2.965781e+01	PPBP
GO_Cellular_Component_2023	Platelet Alpha Granule Lumen (GO:0031093)	1/66	1.034195e-01	2.147702e-01	0	0	9.568269e+00	2.171003e+01	PPBP
GO_Cellular_Component_2023	Intermediate Filament (GO:0005882)	1/69	1.078651e-01	2.147702e-01	0	0	9.144761e+00	2.036423e+01	HLA-DRB1
GO_Cellular_Component_2023	Actin Filament (GO:0005884)	1/71	1.108170e-01	2.147702e-01	0	0	8.882589e+00	1.954059e+01	TMOD1
GO_Cellular_Component_2023	Tertiary Granule Membrane (GO:0070821)	1/72	1.122894e-01	2.147702e-01	0	0	8.757042e+00	1.914881e+01	CLEC12A
GO_Cellular_Component_2023	Mitochondrial Matrix (GO:0005759)	2/355	1.158852e-01	2.147702e-01	0	0	3.584757e+00	7.725710e+00	ALAS2;GLRX5
GO_Cellular_Component_2023	Lysosomal Membrane (GO:0005765)	2/356	1.164237e-01	2.147702e-01	0	0	3.574449e+00	7.686920e+00	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Cytoplasmic Stress Granule (GO:0010494)	1/76	1.181553e-01	2.147702e-01	0	0	8.288333e+00	1.770185e+01	IGF2BP2
GO_Cellular_Component_2023	Endosome Membrane (GO:0010008)	2/361	1.191263e-01	2.147702e-01	0	0	3.523767e+00	7.497064e+00	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Intermediate Filament Cytoskeleton (GO:0045111)	1/81	1.254348e-01	2.147702e-01	0	0	7.768359e+00	1.612687e+01	HLA-DRB1
GO_Cellular_Component_2023	P-body (GO:0000932)	1/83	1.283303e-01	2.147702e-01	0	0	7.578125e+00	1.555901e+01	IGF2BP2
GO_Cellular_Component_2023	Cytoplasmic Vesicle Membrane (GO:0030659)	2/389	1.345479e-01	2.147702e-01	0	0	3.264149e+00	6.547345e+00	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Platelet Alpha Granule (GO:0031091)	1/89	1.369610e-01	2.147702e-01	0	0	7.059304e+00	1.403431e+01	PPBP
GO_Cellular_Component_2023	Specific Granule Membrane (GO:0035579)	1/90	1.383914e-01	2.147702e-01	0	0	6.979635e+00	1.380341e+01	CLEC12A
GO_Cellular_Component_2023	Organelle Inner Membrane (GO:0019866)	2/398	1.396006e-01	2.147702e-01	0	0	3.188498e+00	6.278055e+00	ALAS2;IFI27
GO_Cellular_Component_2023	Golgi Membrane (GO:0000139)	2/427	1.561602e-01	2.342404e-01	0	0	2.966528e+00	5.508464e+00	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Intracellular Organelle Lumen (GO:0070013)	3/856	1.661709e-01	2.431769e-01	0	0	2.240797e+00	4.021646e+00	ALAS2;GLRX5;PPBP
GO_Cellular_Component_2023	Lysosome (GO:0005764)	2/503	2.011395e-01	2.873421e-01	0	0	2.506728e+00	4.020182e+00	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Mitochondrial Envelope (GO:0005740)	1/146	2.149261e-01	2.981455e-01	0	0	4.271983e+00	6.568008e+00	IFI27
GO_Cellular_Component_2023	Mitochondrial Outer Membrane (GO:0005741)	1/151	2.214295e-01	2.981455e-01	0	0	4.128542e+00	6.224399e+00	IFI27
GO_Cellular_Component_2023	Mitochondrial Membrane (GO:0031966)	2/540	2.236091e-01	2.981455e-01	0	0	2.329896e+00	3.489848e+00	ALAS2;IFI27
GO_Cellular_Component_2023	Specific Granule (GO:0042581)	1/159	2.317266e-01	3.022521e-01	0	0	3.917919e+00	5.728770e+00	CLEC12A
GO_Cellular_Component_2023	Organelle Outer Membrane (GO:0031968)	1/170	2.456696e-01	3.086562e-01	0	0	3.660873e+00	5.139014e+00	IFI27
GO_Cellular_Component_2023	Basolateral Plasma Membrane (GO:0016323)	1/171	2.469250e-01	3.086562e-01	0	0	3.639154e+00	5.089979e+00	SLC14A1
GO_Cellular_Component_2023	Nuclear Membrane (GO:0031965)	1/227	3.140801e-01	3.845879e-01	0	0	2.729674e+00	3.161255e+00	IFI27
GO_Cellular_Component_2023	Secretory Granule Membrane (GO:0030667)	1/279	3.712139e-01	4.454567e-01	0	0	2.213242e+00	2.193272e+00	CLEC12A
GO_Cellular_Component_2023	Endoplasmic Reticulum Membrane (GO:0005789)	2/801	3.832110e-01	4.508365e-01	0	0	1.547741e+00	1.484546e+00	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Bounding Membrane Of Organelle (GO:0098588)	2/819	3.939033e-01	4.545038e-01	0	0	1.512220e+00	1.408860e+00	HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023	Secretory Granule Lumen (GO:0034774)	1/316	4.090278e-01	4.630503e-01	0	0	1.949603e+00	1.742891e+00	PPBP
GO_Cellular_Component_2023	Actin Cytoskeleton (GO:0015629)	1/327	4.198379e-01	4.664866e-01	0	0	1.882765e+00	1.634026e+00	TMOD1
GO_Cellular_Component_2023	Mitochondrial Inner Membrane (GO:0005743)	1/370	4.602854e-01	4.960745e-01	0	0	1.659722e+00	1.287793e+00	ALAS2
GO_Cellular_Component_2023	Collagen-Containing Extracellular Matrix (GO:0062023)	1/373	4.630029e-01	4.960745e-01	0	0	1.646085e+00	1.267522e+00	CLC
GO_Cellular_Component_2023	Cytoskeleton (GO:0005856)	1/599	6.336868e-01	6.670387e-01	0	0	1.012176e+00	4.617551e-01	IGF2BP2
GO_Cellular_Component_2023	Intracellular Non-Membrane-Bounded Organelle (GO:0043232)	1/1195	8.692911e-01	8.992667e-01	0	0	4.913369e-01	6.882510e-02	IGF2BP2
GO_Cellular_Component_2023	Nucleus (GO:0005634)	1/4487	9.997705e-01	9.999465e-01	0	0	1.078425e-01	2.475469e-05	IGF2BP2
GO_Cellular_Component_2023	Intracellular Membrane-Bounded Organelle (GO:0043231)	1/5175	9.999465e-01	9.999465e-01	0	0	8.934698e-02	4.781132e-06	IGF2BP2
