Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Striated Muscle Cell Development (GO:0055002),2/14,0.00023728298476867357,0.0165307146055509,0,0,107.28494623655914,895.4277443094898,TMOD1;MYL9
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503),2/14,0.00023728298476867357,0.0165307146055509,0,0,107.28494623655914,895.4277443094898,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,MHC Class II Protein Complex Assembly (GO:0002399),2/14,0.00023728298476867357,0.0165307146055509,0,0,107.28494623655914,895.4277443094898,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),2/18,0.0003973053137316762,0.0171508450137972,0,0,80.4475806451613,629.9693586370835,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),2/19,0.0004435892526548597,0.0171508450137972,0,0,75.71157495256168,584.5396585589853,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,Hydrogen Peroxide Catabolic Process (GO:0042744),2/20,0.0004923687563769557,0.0171508450137972,0,0,71.50179211469533,544.5778563946176,HBZ;HBM
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886),2/26,0.0008370138351955578,0.0249005910376698,0,0,53.61021505376344,379.86429025408376,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495),2/28,0.000971505882662878,0.0249005910376698,0,0,49.48138957816377,343.23573585051554,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,Immunoglobulin Mediated Immune Response (GO:0016064),2/30,0.0011156998625027,0.0249005910376698,0,0,45.94239631336406,312.32897040365367,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478),2/31,0.0011914158391229,0.0249005910376698,0,0,44.3559510567297,298.6314482014049,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,One-Carbon Compound Transport (GO:0019755),2/35,0.0015182276826034,0.0288463259694653,0,0,38.971652003910066,252.93426879222204,SLC14A1;HBZ
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),2/44,0.0023915785541173,0.0379605748875893,0,0,30.606758832565284,184.7363254066557,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,Regulation Of Viral Entry Into Host Cell (GO:0046596),2/44,0.0023915785541173,0.0379605748875893,0,0,30.606758832565284,184.7363254066557,TRIM58;HLA-DRB1
GO_Biological_Process_2023,Myofibril Assembly (GO:0030239),2/46,0.0026111963019977,0.0379605748875893,0,0,29.212609970674485,173.7550502694207,TMOD1;MYL9
GO_Biological_Process_2023,Positive Regulation Of Lymphocyte Activation (GO:0051251),2/47,0.0027244431737504,0.0379605748875893,0,0,28.56200716845878,168.6726823205682,HLA-DRB5;HLA-DRB1
GO_Biological_Process_2023,Erythrocyte Differentiation (GO:0030218),2/49,0.0029577759610365,0.0386359484910398,0,0,27.343857240905972,159.23196669722262,ALAS2;AHSP
GO_Biological_Process_2023,Chemokine-Mediated Signaling Pathway (GO:0070098),2/57,0.0039812184370089,0.0462263696297148,0,0,23.357184750733136,129.0757121447999,PPBP;PF4V1
GO_Biological_Process_2023,Myeloid Cell Differentiation (GO:0030099),2/57,0.0039812184370089,0.0462263696297148,0,0,23.357184750733136,129.0757121447999,ALAS2;AHSP
GO_Biological_Process_2023,Cellular Response To Chemokine (GO:1990869),2/59,0.0042593156284662,0.0468524719131282,0,0,22.535370684776456,123.0126286741693,PPBP;PF4V1
GO_Biological_Process_2023,Regulation Of T Cell Activation (GO:0050863),2/62,0.0046929042205557,0.0490408491048075,0,0,21.405376344086022,114.769284503242,HLA-DRB5;HLA-DRB1
GO_Molecular_Function_2023,CXCR Chemokine Receptor Binding (GO:0045236),2/16,0.00031225565053905703,0.0159250381774919,0,0,91.94930875576036,742.1861608649783,PPBP;PF4V1
GO_Molecular_Function_2023,MHC Class II Protein Complex Binding (GO:0023026),2/25,0.0007734253398115839,0.0197223461651953,0,0,55.94389901823282,400.8202135872168,HLA-DRB5;HLA-DRB1
GO_Molecular_Function_2023,Chemokine Activity (GO:0008009),2/46,0.0026111963019977,0.0339125764770162,0,0,29.212609970674485,173.7550502694207,PPBP;PF4V1
GO_Molecular_Function_2023,Chemokine Receptor Binding (GO:0042379),2/50,0.0030778471463162,0.0339125764770162,0,0,26.772849462365592,154.84144163978604,PPBP;PF4V1
GO_Molecular_Function_2023,Channel Activity (GO:0015267),2/52,0.0033247623997074,0.0339125764770162,0,0,25.699354838709677,146.64969507968098,SLC14A1;RHD
GO_Molecular_Function_2023,Arylesterase Activity (GO:0004064),1/5,0.0082235479691264,0.0491446430721219,0,0,155.9609375,748.7300222782447,CA1
GO_Molecular_Function_2023,Heme Binding (GO:0020037),2/87,0.0090487502094589,0.0491446430721219,0,0,15.090702087286529,71.00369442575716,HBZ;HBM
GO_Molecular_Function_2023,Myosin Heavy Chain Binding (GO:0032036),1/6,0.0098603777426936,0.0491446430721219,0,0,124.7625,576.3067827453115,MYL4
GO_Molecular_Function_2023,CD4 Receptor Binding (GO:0042609),1/7,0.0114945886890378,0.0491446430721219,0,0,103.96354166666669,464.2885874243707,HLA-DRB1
GO_Molecular_Function_2023,Carboxylic Ester Hydrolase Activity (GO:0052689),2/104,0.012731366406601,0.0491446430721219,0,0,12.56483238456673,54.82898988673497,CA1;CLC
GO_Molecular_Function_2023,cAMP-dependent Protein Kinase Inhibitor Activity (GO:0004862),1/8,0.0131261847028175,0.0491446430721219,0,0,89.10714285714286,386.1142784895618,PRKAR2B
GO_Molecular_Function_2023,Urea Transmembrane Transporter Activity (GO:0015204),1/8,0.0131261847028175,0.0491446430721219,0,0,89.10714285714286,386.1142784895618,SLC14A1
GO_Molecular_Function_2023,MHC Class II Receptor Activity (GO:0032395),1/9,0.0147551697178423,0.0491446430721219,0,0,77.96484375,328.7123934869669,HLA-DRB1
GO_Molecular_Function_2023,N6-methyladenosine-containing RNA Binding (GO:1990247),1/10,0.0163815476907073,0.0491446430721219,0,0,69.29861111111111,284.9281499305533,IGF2BP2
GO_Molecular_Function_2023,Ammonium Transmembrane Transporter Activity (GO:0008519),1/10,0.0163815476907073,0.0491446430721219,0,0,69.29861111111111,284.9281499305533,RHD
GO_Molecular_Function_2023,Myosin II Binding (GO:0045159),1/10,0.0163815476907073,0.0491446430721219,0,0,69.29861111111111,284.9281499305533,MYL4
GO_Molecular_Function_2023,cAMP-dependent Protein Kinase Regulator Activity (GO:0008603),1/10,0.0163815476907073,0.0491446430721219,0,0,69.29861111111111,284.9281499305533,PRKAR2B
GO_Cellular_Component_2023,MHC Class II Protein Complex (GO:0042613),2/15,0.0002735057307803723,0.0156359097453501,0,0,99.0272952853598,812.4385459521706,HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023,MHC Protein Complex (GO:0042611),2/21,0.0005436359670051372,0.0156359097453501,0,0,67.73514431239389,509.18070720221294,HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023,Lumenal Side Of Endoplasmic Reticulum Membrane (GO:0098553),2/27,0.000903043260938429,0.0156359097453501,0,0,51.46322580645161,360.7438374913855,HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023,Myofibril (GO:0030016),2/29,0.0010423939830233,0.0156359097453501,0,0,47.64635603345281,327.15109192310734,TMOD1;MYL9
GO_Cellular_Component_2023,ER To Golgi Transport Vesicle Membrane (GO:0012507),2/55,0.0037119578894409,0.0371195788944093,0,0,24.241022519780888,135.65750862045326,HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023,Coated Vesicle Membrane (GO:0030662),2/55,0.0037119578894409,0.0371195788944093,0,0,24.241022519780888,135.65750862045326,HLA-DRB5;HLA-DRB1
GO_Cellular_Component_2023,Transport Vesicle Membrane (GO:0030658),2/60,0.004401659958467,0.0377285139297173,0,0,22.14571746384872,120.15764797067736,HLA-DRB5;HLA-DRB1
