Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Staphylococcus aureus infection	5/95	1.609305e-06	1.062141e-04	0	0	2.983183e+01	3.979479e+02	HLA-DRB5;DEFA4;DEFA1;DEFA1B;HLA-DRB1
KEGG_2021_Human	Hematopoietic cell lineage	3/99	1.174040e-03	3.470755e-02	0	0	1.591506e+01	1.073838e+02	HLA-DRB5;GYPA;HLA-DRB1
KEGG_2021_Human	Asthma	2/31	1.926036e-03	3.470755e-02	0	0	3.436034e+01	2.148309e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Allograft rejection	2/38	2.884883e-03	3.470755e-02	0	0	2.766944e+01	1.618184e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Glycine, serine and threonine metabolism	2/40	3.192378e-03	3.470755e-02	0	0	2.621053e+01	1.506316e+02	ALAS2;PSPH
KEGG_2021_Human	Graft-versus-host disease	2/42	3.514551e-03	3.470755e-02	0	0	2.489750e+01	1.406919e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Type I diabetes mellitus	2/43	3.681104e-03	3.470755e-02	0	0	2.428902e+01	1.361289e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Intestinal immune network for IgA production	2/48	4.567922e-03	3.768536e-02	0	0	2.164348e+01	1.166301e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Autoimmune thyroid disease	2/53	5.543448e-03	3.855989e-02	0	0	1.951667e+01	1.013918e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	NOD-like receptor signaling pathway	3/181	6.458983e-03	3.855989e-02	0	0	8.547969e+00	4.310128e+01	DEFA4;DEFA1;DEFA1B
KEGG_2021_Human	Viral myocarditis	2/60	7.054671e-03	3.855989e-02	0	0	1.715517e+01	8.498785e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Transcriptional misregulation in cancer	3/192	7.595130e-03	3.855989e-02	0	0	8.045991e+00	3.926643e+01	DEFA4;DEFA1;DEFA1B
KEGG_2021_Human	Chemokine signaling pathway	3/192	7.595130e-03	3.855989e-02	0	0	8.045991e+00	3.926643e+01	PPBP;GNG11;PF4V1
KEGG_2021_Human	Inflammatory bowel disease	2/65	8.235547e-03	3.882472e-02	0	0	1.578968e+01	7.577935e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Leishmaniasis	2/77	1.140284e-02	4.821077e-02	0	0	1.325533e+01	5.930295e+01	HLA-DRB5;HLA-DRB1
