Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Staphylococcus aureus infection,5/95,1.609304781075491e-06,0.0001062141155509824,0,0,29.83183183183183,397.9479342504535,HLA-DRB5;DEFA4;DEFA1;DEFA1B;HLA-DRB1
KEGG_2021_Human,Hematopoietic cell lineage,3/99,0.0011740400797504,0.0347075510126742,0,0,15.915064102564102,107.38378234277717,HLA-DRB5;GYPA;HLA-DRB1
KEGG_2021_Human,Asthma,2/31,0.0019260361255937,0.0347075510126742,0,0,34.360344827586204,214.8308819031652,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Allograft rejection,2/38,0.0028848830180678,0.0347075510126742,0,0,27.669444444444444,161.81840754317565,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,"Glycine, serine and threonine metabolism",2/40,0.003192377519186,0.0347075510126742,0,0,26.210526315789473,150.63161522690567,ALAS2;PSPH
KEGG_2021_Human,Graft-versus-host disease,2/42,0.0035145509368019,0.0347075510126742,0,0,24.8975,140.6918764925207,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Type I diabetes mellitus,2/43,0.0036811038952836,0.0347075510126742,0,0,24.289024390243902,136.12887191337333,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Intestinal immune network for IgA production,2/48,0.0045679222174955,0.0376853582943384,0,0,21.643478260869564,116.6301427912035,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Autoimmune thyroid disease,2/53,0.0055434476600072,0.0385598930796891,0,0,19.516666666666666,101.39178932860496,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,NOD-like receptor signaling pathway,3/181,0.0064589833132943,0.0385598930796891,0,0,8.547968885047537,43.10128123169268,DEFA4;DEFA1;DEFA1B
KEGG_2021_Human,Viral myocarditis,2/60,0.007054670632329,0.0385598930796891,0,0,17.155172413793103,84.98784575125757,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Transcriptional misregulation in cancer,3/192,0.0075951304550902,0.0385598930796891,0,0,8.045991045991046,39.266431441786665,DEFA4;DEFA1;DEFA1B
KEGG_2021_Human,Chemokine signaling pathway,3/192,0.0075951304550902,0.0385598930796891,0,0,8.045991045991046,39.266431441786665,PPBP;GNG11;PF4V1
KEGG_2021_Human,Inflammatory bowel disease,2/65,0.0082355474129664,0.0388247235182706,0,0,15.78968253968254,75.7793514687982,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Leishmaniasis,2/77,0.0114028352733629,0.048210773217077,0,0,13.255333333333333,59.30294627765024,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Antigen processing and presentation,2/78,0.0116874601738368,0.048210773217077,0,0,13.080263157894738,58.19721425114116,HLA-DRB5;HLA-DRB1
