Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Hematopoietic cell lineage	3/99	5.762536e-04	2.437571e-02	0	0	2.069896e+01	1.543928e+02	HLA-DRB5;GYPA;HLA-DRB1
KEGG_2021_Human	Asthma	2/31	1.191416e-03	2.437571e-02	0	0	4.435595e+01	2.986314e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Allograft rejection	2/38	1.788269e-03	2.437571e-02	0	0	3.571864e+01	2.259742e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Glycine, serine and threonine metabolism	2/40	1.980055e-03	2.437571e-02	0	0	3.383531e+01	2.106123e+02	ALAS2;PSPH
KEGG_2021_Human	Graft-versus-host disease	2/42	2.181178e-03	2.437571e-02	0	0	3.214032e+01	1.969524e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Type I diabetes mellitus	2/43	2.285223e-03	2.437571e-02	0	0	3.135484e+01	1.906779e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Intestinal immune network for IgA production	2/48	2.839972e-03	2.596546e-02	0	0	2.793969e+01	1.638373e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Autoimmune thyroid disease	2/53	3.451592e-03	2.733897e-02	0	0	2.519418e+01	1.428238e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Chemokine signaling pathway	3/192	3.844543e-03	2.733897e-02	0	0	1.046455e+01	5.819442e+01	PPBP;GNG11;PF4V1
KEGG_2021_Human	Viral myocarditis	2/60	4.401660e-03	2.817062e-02	0	0	2.214572e+01	1.201576e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Inflammatory bowel disease	2/65	5.146053e-03	2.994067e-02	0	0	2.038300e+01	1.074087e+02	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Leishmaniasis	2/77	7.150424e-03	3.609139e-02	0	0	1.711140e+01	8.454029e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Antigen processing and presentation	2/78	7.331063e-03	3.609139e-02	0	0	1.688540e+01	8.300245e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Th1 and Th2 cell differentiation	2/92	1.007334e-02	4.284697e-02	0	0	1.424875e+01	6.551378e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Rheumatoid arthritis	2/93	1.028418e-02	4.284697e-02	0	0	1.409146e+01	6.449869e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Staphylococcus aureus infection	2/95	1.071174e-02	4.284697e-02	0	0	1.378703e+01	6.254367e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	2/100	1.181460e-02	4.447848e-02	0	0	1.308032e+01	5.805593e+01	PPBP;PF4V1
KEGG_2021_Human	Th17 cell differentiation	2/107	1.343879e-02	4.778236e-02	0	0	1.220399e+01	5.259445e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Toxoplasmosis	2/112	1.465511e-02	4.936458e-02	0	0	1.164633e+01	4.918208e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Systemic lupus erythematosus	2/135	2.082943e-02	6.524877e-02	0	0	9.621150e+00	3.724721e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Apelin signaling pathway	2/137	2.140975e-02	6.524877e-02	0	0	9.477658e+00	3.643125e+01	MYL4;GNG11
KEGG_2021_Human	Cell adhesion molecules	2/148	2.472053e-02	7.191426e-02	0	0	8.758727e+00	3.240835e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Phagosome	2/152	2.597337e-02	7.227373e-02	0	0	8.523441e+00	3.111638e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Nitrogen metabolism	1/17	2.769353e-02	7.384942e-02	0	0	3.896680e+01	1.397566e+02	CA1
KEGG_2021_Human	Influenza A	2/172	3.261284e-02	8.348888e-02	0	0	7.513093e+00	2.571769e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Tuberculosis	2/180	3.543702e-02	8.722958e-02	0	0	7.172526e+00	2.395623e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Epstein-Barr virus infection	2/202	4.366963e-02	1.035132e-01	0	0	6.376452e+00	1.996532e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	5.047225e-02	1.153651e-01	0	0	5.871860e+00	1.753532e+01	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Porphyrin and chlorophyll metabolism	1/43	6.861544e-02	1.514272e-01	0	0	1.482515e+01	3.972010e+01	ALAS2
KEGG_2021_Human	Malaria	1/50	7.934437e-02	1.692680e-01	0	0	1.270281e+01	3.218838e+01	GYPA
KEGG_2021_Human	Cytokine-cytokine receptor interaction	2/295	8.492671e-02	1.753326e-01	0	0	4.332049e+00	1.068269e+01	PPBP;PF4V1
KEGG_2021_Human	Cardiac muscle contraction	1/87	1.340934e-01	2.631896e-01	0	0	7.224201e+00	1.451500e+01	MYL4
KEGG_2021_Human	GABAergic synapse	1/89	1.369610e-01	2.631896e-01	0	0	7.059304e+00	1.403431e+01	GNG11
KEGG_2021_Human	Morphine addiction	1/91	1.398195e-01	2.631896e-01	0	0	6.901736e+00	1.357850e+01	GNG11
KEGG_2021_Human	Circadian entrainment	1/97	1.483399e-01	2.712500e-01	0	0	6.468424e+00	1.234337e+01	GNG11
KEGG_2021_Human	C-type lectin receptor signaling pathway	1/104	1.581769e-01	2.752623e-01	0	0	6.026699e+00	1.111348e+01	CLEC1B
KEGG_2021_Human	Serotonergic synapse	1/113	1.706628e-01	2.752623e-01	0	0	5.539900e+00	9.794907e+00	GNG11
KEGG_2021_Human	Cholinergic synapse	1/113	1.706628e-01	2.752623e-01	0	0	5.539900e+00	9.794907e+00	GNG11
KEGG_2021_Human	Leukocyte transendothelial migration	1/114	1.720389e-01	2.752623e-01	0	0	5.490597e+00	9.663640e+00	MYL9
KEGG_2021_Human	Glutamatergic synapse	1/114	1.720389e-01	2.752623e-01	0	0	5.490597e+00	9.663640e+00	GNG11
KEGG_2021_Human	Purine metabolism	1/129	1.924178e-01	2.817789e-01	0	0	4.843506e+00	7.982515e+00	GMPR
KEGG_2021_Human	Relaxin signaling pathway	1/129	1.924178e-01	2.817789e-01	0	0	4.843506e+00	7.982515e+00	GNG11
KEGG_2021_Human	Dopaminergic synapse	1/132	1.964348e-01	2.817789e-01	0	0	4.731870e+00	7.700762e+00	GNG11
KEGG_2021_Human	Vascular smooth muscle contraction	1/133	1.977695e-01	2.817789e-01	0	0	4.695786e+00	7.610240e+00	MYL9
KEGG_2021_Human	Herpes simplex virus 1 infection	2/498	1.981258e-01	2.817789e-01	0	0	2.532648e+00	4.099986e+00	HLA-DRB5;HLA-DRB1
KEGG_2021_Human	Insulin signaling pathway	1/137	2.030868e-01	2.825556e-01	0	0	4.556756e+00	7.264023e+00	PRKAR2B
KEGG_2021_Human	Retrograde endocannabinoid signaling	1/148	2.175337e-01	2.935107e-01	0	0	4.213435e+00	6.427180e+00	GNG11
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	1/150	2.201330e-01	2.935107e-01	0	0	4.156460e+00	6.290898e+00	MYL4
KEGG_2021_Human	Oxytocin signaling pathway	1/154	2.253065e-01	2.942779e-01	0	0	4.046977e+00	6.031184e+00	MYL9
KEGG_2021_Human	cGMP-PKG signaling pathway	1/167	2.418915e-01	3.067135e-01	0	0	3.727598e+00	5.290453e+00	MYL9
KEGG_2021_Human	Tight junction	1/169	2.444123e-01	3.067135e-01	0	0	3.682850e+00	5.188762e+00	MYL9
KEGG_2021_Human	Axon guidance	1/182	2.606004e-01	3.206199e-01	0	0	3.416091e+00	4.593847e+00	MYL9
KEGG_2021_Human	Alcoholism	1/186	2.655133e-01	3.206199e-01	0	0	3.341554e+00	4.431202e+00	GNG11
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	1/193	2.740349e-01	3.247821e-01	0	0	3.218587e+00	4.166461e+00	GNG11
KEGG_2021_Human	Focal adhesion	1/201	2.836564e-01	3.300730e-01	0	0	3.088594e+00	3.891602e+00	MYL9
KEGG_2021_Human	Human immunodeficiency virus 1 infection	1/212	2.966844e-01	3.351100e-01	0	0	2.925948e+00	3.555279e+00	GNG11
KEGG_2021_Human	cAMP signaling pathway	1/216	3.013646e-01	3.351100e-01	0	0	2.870930e+00	3.443492e+00	MYL9
KEGG_2021_Human	Regulation of actin cytoskeleton	1/218	3.036934e-01	3.351100e-01	0	0	2.844182e+00	3.389516e+00	MYL9
KEGG_2021_Human	Human cytomegalovirus infection	1/225	3.117850e-01	3.382075e-01	0	0	2.754325e+00	3.210004e+00	GNG11
KEGG_2021_Human	Ras signaling pathway	1/232	3.197854e-01	3.411044e-01	0	0	2.669913e+00	3.043982e+00	GNG11
KEGG_2021_Human	Shigellosis	1/246	3.355165e-01	3.497716e-01	0	0	2.515561e+00	2.747204e+00	MYL9
KEGG_2021_Human	Salmonella infection	1/249	3.388413e-01	3.497716e-01	0	0	2.484753e+00	2.689058e+00	MYL9
KEGG_2021_Human	PI3K-Akt signaling pathway	1/354	4.455653e-01	4.526377e-01	0	0	1.736367e+00	1.403699e+00	GNG11
KEGG_2021_Human	Pathways in cancer	1/531	5.888141e-01	5.888141e-01	0	0	1.146050e+00	6.069991e-01	GNG11
