Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Hematopoietic cell lineage,3/99,0.000576253558460808,0.0243757067668395,0,0,20.698958333333337,154.3927599684108,HLA-DRB5;GYPA;HLA-DRB1
KEGG_2021_Human,Asthma,2/31,0.0011914158391229,0.0243757067668395,0,0,44.3559510567297,298.6314482014049,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Allograft rejection,2/38,0.0017882687435073,0.0243757067668395,0,0,35.71863799283154,225.9742243488304,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,"Glycine, serine and threonine metabolism",2/40,0.0019800550402056,0.0243757067668395,0,0,33.835314091680814,210.6123326933283,ALAS2;PSPH
KEGG_2021_Human,Graft-versus-host disease,2/42,0.0021811782673054,0.0243757067668395,0,0,32.14032258064516,196.95236322224068,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Type I diabetes mellitus,2/43,0.0022852225093912,0.0243757067668395,0,0,31.35483870967742,190.6779260779712,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Intestinal immune network for IgA production,2/48,0.0028399721847102,0.0259654599744937,0,0,27.93969144460028,163.83726156915148,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Autoimmune thyroid disease,2/53,0.003451591837737,0.0273389694001015,0,0,25.19418089816572,142.82378973183248,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Chemokine signaling pathway,3/192,0.0038445425718892,0.0273389694001015,0,0,10.464550264550263,58.19441727920037,PPBP;GNG11;PF4V1
KEGG_2021_Human,Viral myocarditis,2/60,0.004401659958467,0.0281706237341889,0,0,22.14571746384872,120.15764797067736,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Inflammatory bowel disease,2/65,0.0051460525023896,0.0299406691048123,0,0,20.38300051203277,107.40873816428082,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Leishmaniasis,2/77,0.0071504238759536,0.0360913870364185,0,0,17.111397849462367,84.5402922842762,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Antigen processing and presentation,2/78,0.0073310629917725,0.0360913870364185,0,0,16.88539898132428,83.0024540720842,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Th1 and Th2 cell differentiation,2/92,0.0100733381535618,0.0428469716487395,0,0,14.248745519713262,65.51378170650064,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Rheumatoid arthritis,2/93,0.0102841820585722,0.0428469716487395,0,0,14.091456930166608,64.49868794425389,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Staphylococcus aureus infection,2/95,0.0107117429121848,0.0428469716487395,0,0,13.787027402011793,62.54367337409043,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Viral protein interaction with cytokine and cytokine receptor,2/100,0.0118145960439167,0.0444784792241572,0,0,13.08031599736669,58.0559303610333,PPBP;PF4V1
KEGG_2021_Human,Th17 cell differentiation,2/107,0.0134387886808511,0.0477823597541374,0,0,12.20399385560676,52.59445488587787,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Toxoplasmosis,2/112,0.0146551091964615,0.0493645783459757,0,0,11.64633431085044,49.18207677410799,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Systemic lupus erythematosus,2/135,0.0208294319460634,0.0652487728201308,0,0,9.621149648314336,37.24720613324906,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Apelin signaling pathway,2/137,0.0214097535816054,0.0652487728201308,0,0,9.477658303464755,36.431253075123614,MYL4;GNG11
KEGG_2021_Human,Cell adhesion molecules,2/148,0.02472052673657,0.0719142595972946,0,0,8.758727353071144,32.408353977254606,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Phagosome,2/152,0.02597337207796,0.072273730999541,0,0,8.523440860215054,31.116384200836112,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Nitrogen metabolism,1/17,0.0276935307652746,0.0738494153740657,0,0,38.966796875,139.75661625657744,CA1
KEGG_2021_Human,Influenza A,2/172,0.0326128428938733,0.0834888778083156,0,0,7.513092979127134,25.717686268524133,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Tuberculosis,2/180,0.0354370164884383,0.0872295790484636,0,0,7.172526277636825,23.956225872765824,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Epstein-Barr virus infection,2/202,0.0436696330534359,0.1035132042748112,0,0,6.376451612903225,19.965322401768596,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.0504722515411844,0.1153651463798501,0,0,5.8718596699866215,17.535319896223264,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Porphyrin and chlorophyll metabolism,1/43,0.0686154436716837,0.1514271860340606,0,0,14.82514880952381,39.72009675619261,ALAS2
KEGG_2021_Human,Malaria,1/50,0.0793443657059371,0.1692679801726658,0,0,12.70280612244898,32.18837516559274,GYPA
KEGG_2021_Human,Cytokine-cytokine receptor interaction,2/295,0.084926708471947,0.1753325594259551,0,0,4.3320488825278,10.682688060594174,PPBP;PF4V1
KEGG_2021_Human,Cardiac muscle contraction,1/87,0.1340933560564826,0.2631896051089449,0,0,7.2242005813953485,14.515001318025464,MYL4
KEGG_2021_Human,GABAergic synapse,1/89,0.1369610219297763,0.2631896051089449,0,0,7.0593039772727275,14.034312135800633,GNG11
KEGG_2021_Human,Morphine addiction,1/91,0.139819477714127,0.2631896051089449,0,0,6.901736111111111,13.578497250356977,GNG11
KEGG_2021_Human,Circadian entrainment,1/97,0.1483398705408711,0.2712500489890215,0,0,6.468424479166667,12.34336593719902,GNG11
KEGG_2021_Human,C-type lectin receptor signaling pathway,1/104,0.1581769149176237,0.2752623021475149,0,0,6.026699029126213,11.113481054776814,CLEC1B
KEGG_2021_Human,Serotonergic synapse,1/113,0.1706627589546523,0.2752623021475149,0,0,5.539899553571429,9.794907155612115,GNG11
KEGG_2021_Human,Cholinergic synapse,1/113,0.1706627589546523,0.2752623021475149,0,0,5.539899553571429,9.794907155612115,GNG11
KEGG_2021_Human,Leukocyte transendothelial migration,1/114,0.1720389388421968,0.2752623021475149,0,0,5.490597345132743,9.663640419067098,MYL9
KEGG_2021_Human,Glutamatergic synapse,1/114,0.1720389388421968,0.2752623021475149,0,0,5.490597345132743,9.663640419067098,GNG11
KEGG_2021_Human,Purine metabolism,1/129,0.1924178204547219,0.2817788764292342,0,0,4.843505859375,7.982514794152392,GMPR
KEGG_2021_Human,Relaxin signaling pathway,1/129,0.1924178204547219,0.2817788764292342,0,0,4.843505859375,7.982514794152392,GNG11
KEGG_2021_Human,Dopaminergic synapse,1/132,0.1964348217017771,0.2817788764292342,0,0,4.731870229007634,7.700762009349192,GNG11
KEGG_2021_Human,Vascular smooth muscle contraction,1/133,0.1977695112989139,0.2817788764292342,0,0,4.695785984848484,7.610239693989731,MYL9
KEGG_2021_Human,Herpes simplex virus 1 infection,2/498,0.1981257724893053,0.2817788764292342,0,0,2.5326482830385015,4.099985867022142,HLA-DRB5;HLA-DRB1
KEGG_2021_Human,Insulin signaling pathway,1/137,0.2030868052944016,0.282555555192211,0,0,4.556755514705882,7.264023207811308,PRKAR2B
KEGG_2021_Human,Retrograde endocannabinoid signaling,1/148,0.2175337492356676,0.293510716956077,0,0,4.21343537414966,6.427179677495341,GNG11
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,1/150,0.2201330377170577,0.293510716956077,0,0,4.156459731543624,6.2908982273291825,MYL4
KEGG_2021_Human,Oxytocin signaling pathway,1/154,0.2253065193229801,0.2942779027891986,0,0,4.046977124183006,6.03118368572162,MYL9
KEGG_2021_Human,cGMP-PKG signaling pathway,1/167,0.2418915221326923,0.3067134828783866,0,0,3.727597891566265,5.290452609856201,MYL9
KEGG_2021_Human,Tight junction,1/169,0.2444123066687143,0.3067134828783866,0,0,3.682849702380953,5.1887621518448,MYL9
KEGG_2021_Human,Axon guidance,1/182,0.2606004005622737,0.3206198707961244,0,0,3.4160911602209945,4.5938469250322465,MYL9
KEGG_2021_Human,Alcoholism,1/186,0.2655133305030405,0.3206198707961244,0,0,3.341554054054054,4.431202185800747,GNG11
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.2740348923486101,0.3247820946353897,0,0,3.2185872395833335,4.16646065496284,GNG11
KEGG_2021_Human,Focal adhesion,1/201,0.2836564458737979,0.3300729551986012,0,0,3.08859375,3.891601781528958,MYL9
KEGG_2021_Human,Human immunodeficiency virus 1 infection,1/212,0.2966844107704781,0.3351099891610488,0,0,2.925947867298578,3.555279153810054,GNG11
KEGG_2021_Human,cAMP signaling pathway,1/216,0.3013646483737213,0.3351099891610488,0,0,2.8709302325581394,3.4434921681806743,MYL9
KEGG_2021_Human,Regulation of actin cytoskeleton,1/218,0.3036934276772005,0.3351099891610488,0,0,2.8441820276497696,3.3895156715251717,MYL9
KEGG_2021_Human,Human cytomegalovirus infection,1/225,0.3117850257792624,0.3382074855910643,0,0,2.7543247767857144,3.210003982323692,GNG11
KEGG_2021_Human,Ras signaling pathway,1/232,0.3197854106061414,0.3411044379798841,0,0,2.66991341991342,3.043981906578937,GNG11
KEGG_2021_Human,Shigellosis,1/246,0.3355165157075809,0.3497716360369813,0,0,2.515561224489796,2.7472044073787973,MYL9
KEGG_2021_Human,Salmonella infection,1/249,0.3388412724108257,0.3497716360369813,0,0,2.4847530241935485,2.6890581249868664,MYL9
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.4455652676305007,0.4526377321960642,0,0,1.7363668555240792,1.4036990012150423,GNG11
KEGG_2021_Human,Pathways in cancer,1/531,0.5888141179913776,0.5888141179913776,0,0,1.1460495283018868,0.6069990978983979,GNG11
