top_k,rank_method,C,l1_ratio,AUC
50,padj,1.0,0.8,1.0
50,score,1.0,0.5,1.0
50,score,1.0,0.8,1.0
50,score,10.0,0.2,1.0
50,score,10.0,0.5,1.0
50,score,10.0,0.8,1.0
100,padj,0.1,0.5,1.0
100,padj,1.0,0.2,1.0
100,padj,1.0,0.5,1.0
100,padj,1.0,0.8,1.0
100,abs_log2fc,1.0,0.2,1.0
100,abs_log2fc,1.0,0.5,1.0
100,abs_log2fc,1.0,0.8,1.0
100,score,1.0,0.8,1.0
100,padj,10.0,0.2,1.0
100,padj,10.0,0.5,1.0
100,padj,10.0,0.8,1.0
100,abs_log2fc,10.0,0.2,1.0
100,abs_log2fc,10.0,0.5,1.0
100,abs_log2fc,10.0,0.8,1.0
100,score,10.0,0.2,1.0
100,score,10.0,0.5,1.0
100,score,10.0,0.8,1.0
200,padj,0.1,0.2,1.0
200,padj,0.1,0.5,1.0
200,abs_log2fc,0.1,0.5,1.0
200,padj,1.0,0.2,1.0
200,padj,1.0,0.5,1.0
200,padj,1.0,0.8,1.0
200,abs_log2fc,1.0,0.2,1.0
200,abs_log2fc,1.0,0.5,1.0
200,abs_log2fc,1.0,0.8,1.0
200,score,1.0,0.2,1.0
200,score,1.0,0.5,1.0
200,score,1.0,0.8,1.0
200,padj,10.0,0.2,1.0
200,padj,10.0,0.5,1.0
200,padj,10.0,0.8,1.0
200,abs_log2fc,10.0,0.2,1.0
200,abs_log2fc,10.0,0.5,1.0
200,abs_log2fc,10.0,0.8,1.0
200,score,10.0,0.2,1.0
200,score,10.0,0.5,1.0
200,score,10.0,0.8,1.0
50,abs_log2fc,0.1,0.2,0.9988095238095237
50,abs_log2fc,1.0,0.2,0.9988095238095237
50,padj,10.0,0.5,0.9988095238095237
50,padj,10.0,0.8,0.9988095238095237
50,abs_log2fc,10.0,0.2,0.9988095238095237
50,score,1.0,0.2,0.9987878787878788
100,padj,0.1,0.2,0.9987878787878788
100,abs_log2fc,0.1,0.2,0.9987878787878788
100,abs_log2fc,0.1,0.5,0.9987878787878788
100,score,0.1,0.2,0.9987878787878788
100,score,1.0,0.2,0.9987878787878788
100,score,1.0,0.5,0.9987878787878788
200,abs_log2fc,0.1,0.2,0.9987878787878788
200,score,0.1,0.2,0.9987878787878788
200,score,0.1,0.5,0.9987878787878788
50,abs_log2fc,1.0,0.5,0.9976190476190476
50,abs_log2fc,1.0,0.8,0.9976190476190476
50,padj,10.0,0.2,0.9976190476190476
50,abs_log2fc,10.0,0.5,0.9976190476190476
100,score,0.1,0.5,0.9975757575757577
200,padj,0.1,0.8,0.9975757575757577
200,abs_log2fc,0.1,0.8,0.9975757575757577
200,score,0.1,0.8,0.9975757575757577
50,abs_log2fc,0.1,0.5,0.9963852813852814
50,abs_log2fc,0.1,0.8,0.9963852813852814
50,padj,1.0,0.5,0.9963852813852814
100,padj,0.1,0.8,0.9963852813852814
50,abs_log2fc,10.0,0.8,0.9952380952380953
50,padj,1.0,0.2,0.9951948051948051
50,score,0.1,0.8,0.9951731601731602
50,score,0.1,0.2,0.9951515151515151
100,abs_log2fc,0.1,0.8,0.9951515151515151
100,score,0.1,0.8,0.993982683982684
50,score,0.1,0.5,0.993961038961039
50,padj,0.1,0.5,0.9927705627705627
50,padj,0.1,0.8,0.9916017316017317
50,padj,0.1,0.2,0.987965367965368
