Gene,Coefficient,AbsCoefficient
SNORD57,0.5494513711021324,0.5494513711021324
CST7,-0.5206897935034691,0.5206897935034691
ARL5B,0.5019406299882692,0.5019406299882692
CCM2,0.42587791351858384,0.42587791351858384
TMEM104,-0.24516485244858138,0.24516485244858138
VDAC1,-0.2042774068594279,0.2042774068594279
TMEM209,-0.2002358678900855,0.2002358678900855
STX12,-0.18029097539721253,0.18029097539721253
EGR1,-0.1692861702109114,0.1692861702109114
PSTPIP2,-0.07529174346988876,0.07529174346988876
PRDM1,0.0,0.0
C9orf16,0.0,0.0
GUSB,0.0,0.0
BHLHE40,0.0,0.0
DND1,0.0,0.0
HADHB,0.0,0.0
RCN2,0.0,0.0
CCNK,0.0,0.0
RECQL,0.0,0.0
GLE1,0.0,0.0
