feature_id,selection_freq,gene_symbol
7958000,1.0,
7935180,1.0,
7953901,1.0,CLEC12A
8095694,1.0,PF4V1
8059097,1.0,
7958253,1.0,
8173135,1.0,ALAS2
8021081,1.0,SLC14A1
8043413,1.0,
7976515,1.0,
8062312,1.0,MYL9
7974461,1.0,
8180377,1.0,
8005687,1.0,
7951077,1.0,
8078962,1.0,
8089928,1.0,
8131067,1.0,GPR146
8156706,1.0,TMOD1
8138789,1.0,
8063478,1.0,MIMS2
8038877,1.0,SIGLEC5
8092552,1.0,IGF2BP2
8151592,1.0,CA1
7961102,1.0,CLEC1B
7930398,1.0,
8161373,0.99,LINC00268
8161554,0.99,LINC00268
8007921,0.99,MYL4
7989670,0.99,
8162719,0.99,HEMGN
8019802,0.99,
8177120,0.98,
8005225,0.98,CCDC144BP
8020508,0.98,
7986359,0.98,
8126269,0.97,TREML1
8149126,0.96,DEFA1B
8149137,0.96,DEFA1B
8013272,0.96,CCDC144BP
8149116,0.96,DEFA1
7901376,0.95,
8071044,0.95,LOC100233156
7969693,0.95,
7961230,0.94,
8071051,0.93,LOC100233156
7919193,0.92,
7968254,0.91,
8136341,0.91,
8124955,0.91,
8179773,0.91,
8178517,0.9,
8135378,0.89,PRKAR2B
7953977,0.86,
8047443,0.86,
8128683,0.86,
7916564,0.85,
8100971,0.85,PPBP
8013268,0.84,
8138545,0.84,
8043436,0.83,IGKC
7923967,0.8,
8165496,0.77,
8169709,0.77,GLRX5
7909283,0.76,
7901336,0.75,
8180346,0.69,
8180379,0.69,
7961390,0.68,
8022941,0.63,
8154363,0.62,RPS26P11
8019635,0.58,
8019709,0.57,
8019633,0.57,
8019707,0.57,
8019639,0.56,
8019631,0.56,
8019637,0.56,
8093053,0.56,
8143387,0.56,
8180323,0.56,
8019705,0.55,
8019641,0.54,
8164535,0.54,
8019703,0.53,
8112376,0.53,CENPK
8171846,0.5,
8157650,0.49,
7977736,0.49,
8071268,0.49,
7913705,0.49,
8056113,0.48,
8036755,0.48,CLC
7963851,0.46,
8149248,0.45,
8144699,0.45,
7898894,0.45,
7923547,0.44,
8160557,0.43,
7998604,0.42,
8034299,0.42,
7936833,0.42,
8125436,0.41,HLA-DRB5
8134257,0.4,GNG11
8007797,0.39,RPS26P11
7972577,0.38,RPS26P11
8132819,0.38,
8148147,0.37,
8142084,0.36,
8129458,0.36,
7911218,0.36,
7944623,0.36,
8168357,0.35,RPS26P11
8031358,0.35,
8102410,0.34,RPS26P11
7956114,0.33,RPS26P11
8115783,0.33,
8005231,0.33,
8175177,0.32,
7986383,0.32,
8085062,0.32,
7995292,0.3,
8025103,0.3,
8117034,0.29,GMPR
8180412,0.29,
7904361,0.28,
8060745,0.27,
7999532,0.27,
8039871,0.26,
7985147,0.26,
8149109,0.25,DEFA4
7921133,0.24,
7978360,0.24,
8016044,0.24,
8001082,0.23,
8023855,0.23,
8149927,0.22,
8096663,0.21,
7921275,0.2,
8057797,0.2,
8058203,0.2,
7955055,0.2,
7911229,0.19,TRIM58
7936673,0.19,
7911231,0.19,TRIM58
7984079,0.18,
7945579,0.17,
8022711,0.16,
7898957,0.16,
7898998,0.15,RHD
7970696,0.14,
7906348,0.14,
8132055,0.14,
8072113,0.13,
7998861,0.13,
8039842,0.13,
8006028,0.13,
7953291,0.13,
8151101,0.13,
8118249,0.12,
7923503,0.12,
8138824,0.12,
7919984,0.12,
7970317,0.11,
8023968,0.1,
8125447,0.1,HLA-DRB1
7921344,0.1,
7943293,0.1,
7918857,0.1,
8164314,0.1,
8111101,0.09,
8017511,0.09,
8096617,0.09,
8085263,0.08,
7991837,0.08,
8180413,0.08,
7927658,0.08,
8109639,0.08,
8100966,0.07,
8039896,0.07,
8043446,0.07,
7922051,0.06,
7985809,0.06,
8158167,0.05,
8120833,0.05,
8023466,0.05,
7995237,0.05,AHSP
8129254,0.05,
8135488,0.05,
8054254,0.05,
8040362,0.05,
8018708,0.04,
8101762,0.04,
8129637,0.04,
7967412,0.04,
8106393,0.04,
7937314,0.04,
8180306,0.04,
8179313,0.04,
7993035,0.04,
7922095,0.04,
8018097,0.04,
7981732,0.04,
8058221,0.04,
8170662,0.03,
8093950,0.03,S100P
7991465,0.03,
8160756,0.03,
8005679,0.03,
8116859,0.03,
8137464,0.03,PSPH
8178074,0.03,
8116559,0.02,
7944876,0.02,
8153258,0.02,
8139270,0.02,
8068788,0.02,
8005707,0.02,
8152962,0.02,
8030860,0.02,
8073056,0.02,
8055204,0.02,
7903162,0.02,
8039294,0.02,
8046685,0.02,
7935588,0.02,
8173755,0.01,
7971996,0.01,
7921806,0.01,
7991562,0.01,
8049534,0.01,
8016239,0.01,
8072876,0.01,
8005305,0.01,
7987526,0.01,
8150439,0.01,
8165911,0.01,
8085716,0.01,
7980535,0.01,
8071259,0.01,
8083030,0.01,
8090448,0.01,
8039109,0.01,
8065569,0.01,
7952950,0.01,
8179519,0.01,
7999598,0.01,
7945262,0.01,
8141791,0.01,
7999750,0.01,
7993451,0.01,
7999594,0.01,
7993586,0.01,
8107909,0.01,
8108478,0.01,
7918487,0.01,
7908841,0.01,
8043441,0.01,
8132343,0.01,
8112881,0.01,
8177527,0.01,
8112521,0.01,
8112478,0.01,
7926239,0.01,
8083826,0.01,
8092321,0.01,
7906978,0.01,
8133721,0.01,
8015991,0.01,
8150689,0.01,
8003298,0.01,
