gene_id,gene_label,selected_count,selected_freq
8095694,8095694 (PF4V1),50,1.0
7961102,7961102 (CLEC1B),50,1.0
7953901,7953901 (CLEC12A),50,1.0
8173135,8173135 (ALAS2),50,1.0
7953977,7953977,50,1.0
8149137,8149137 (DEFA1B),49,0.98
8149116,8149116 (DEFA1),49,0.98
8149126,8149126 (DEFA1B),49,0.98
8062312,8062312 (MYL9),46,0.92
8071051,8071051 (LOC100233156),45,0.9
8071044,8071044 (LOC100233156),45,0.9
8161554,8161554 (LINC00268),44,0.88
8125436,8125436 (HLA-DRB5),44,0.88
8161373,8161373 (LINC00268),43,0.86
7958000,7958000,43,0.86
8154363,8154363 (RPS26P11),43,0.86
8005225,8005225 (CCDC144BP),41,0.82
8089928,8089928,41,0.82
8038877,8038877 (SIGLEC5),40,0.8
8138545,8138545,39,0.78
8013272,8013272 (CCDC144BP),35,0.7
8177120,8177120,29,0.58
8019802,8019802,26,0.52
8151592,8151592 (CA1),24,0.48
8180346,8180346,23,0.46
8168357,8168357 (RPS26P11),22,0.44
7923547,7923547,20,0.4
7995237,7995237 (AHSP),19,0.38
7909283,7909283,19,0.38
8092552,8092552 (IGF2BP2),17,0.34
8180377,8180377,16,0.32
8043436,8043436 (IGKC),16,0.32
7961390,7961390,14,0.28
8125447,8125447 (HLA-DRB1),14,0.28
7898998,7898998 (RHD),13,0.26
8149248,8149248,12,0.24
8007797,8007797 (RPS26P11),12,0.24
7935180,7935180,11,0.22
7972577,7972577 (RPS26P11),11,0.22
8036755,8036755 (CLC),11,0.22
7911231,7911231 (TRIM58),10,0.2
8149109,8149109 (DEFA4),10,0.2
7911229,7911229 (TRIM58),10,0.2
8102410,8102410 (RPS26P11),10,0.2
8169709,8169709 (GLRX5),9,0.18
8156706,8156706 (TMOD1),7,0.14
8117034,8117034 (GMPR),7,0.14
8128683,8128683,7,0.14
8005687,8005687,7,0.14
8131067,8131067 (GPR146),7,0.14
8136341,8136341,6,0.12
8180379,8180379,6,0.12
8019709,8019709,5,0.1
8063478,8063478 (MIMS2),5,0.1
8019707,8019707,5,0.1
7974461,7974461,5,0.1
7989670,7989670,5,0.1
8138789,8138789,5,0.1
7956114,7956114 (RPS26P11),5,0.1
7958253,7958253,4,0.08
8019641,8019641,4,0.08
8019637,8019637,4,0.08
8019639,8019639,4,0.08
8135378,8135378 (PRKAR2B),4,0.08
8019703,8019703,4,0.08
8019705,8019705,4,0.08
8126269,8126269 (TREML1),4,0.08
8019633,8019633,3,0.06
8006028,8006028,3,0.06
8144699,8144699,3,0.06
8158167,8158167,3,0.06
8019631,8019631,3,0.06
8019635,8019635,3,0.06
8013268,8013268,2,0.04
8043413,8043413,2,0.04
8100971,8100971 (PPBP),2,0.04
8148147,8148147,2,0.04
8060745,8060745,2,0.04
8160557,8160557,2,0.04
8134257,8134257 (GNG11),1,0.02
8039871,8039871,1,0.02
8016044,8016044,1,0.02
8022941,8022941,1,0.02
7951077,7951077,1,0.02
8021081,8021081 (SLC14A1),1,0.02
7961230,7961230,1,0.02
