feature_id,selection_freq,gene_symbol
7958000,1.0,
7935180,1.0,
7953901,1.0,CLEC12A
8095694,1.0,PF4V1
8059097,1.0,
7958253,1.0,
8173135,1.0,ALAS2
8021081,1.0,SLC14A1
8043413,1.0,
7976515,1.0,
8062312,1.0,MYL9
7974461,1.0,
8180377,1.0,
8005687,1.0,
7951077,1.0,
8078962,1.0,
8089928,1.0,
8131067,1.0,GPR146
8156706,1.0,TMOD1
8138789,1.0,
8063478,1.0,MIMS2
8038877,1.0,SIGLEC5
8092552,1.0,IGF2BP2
8151592,1.0,CA1
7961102,1.0,CLEC1B
7930398,1.0,
8161373,0.99,LINC00268
8161554,0.99,LINC00268
8007921,0.99,MYL4
7989670,0.99,
8162719,0.99,HEMGN
8019802,0.99,
8177120,0.98,
8005225,0.98,CCDC144BP
8020508,0.98,
7986359,0.98,
8126269,0.97,TREML1
8149126,0.96,DEFA1B
8149137,0.96,DEFA1B
8013272,0.96,CCDC144BP
8149116,0.96,DEFA1
7901376,0.95,
8071044,0.95,LOC100233156
7969693,0.95,
7961230,0.94,
8071051,0.93,LOC100233156
7919193,0.92,
7968254,0.91,
8136341,0.91,
8124955,0.91,
8179773,0.91,
8178517,0.9,
8135378,0.89,PRKAR2B
7953977,0.86,
8047443,0.86,
8128683,0.86,
7916564,0.85,
8100971,0.85,PPBP
8013268,0.84,
8138545,0.84,
8043436,0.83,IGKC
7923967,0.8,
8165496,0.77,
8169709,0.77,GLRX5
7909283,0.76,
7901336,0.75,
8180346,0.69,
8180379,0.69,
7961390,0.68,
8022941,0.63,
8154363,0.62,RPS26P11
