probe_id,gene_name,hgnc_symbol,correlation,p_value,abs_corr,gene_assignment
7961102,NM_001099431,CLEC1B,0.6130544660513774,3.3697207256790282e-18,0.6130544660513774,"NM_001099431 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266 /// NM_016509 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266 /// ENST00000298527 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266 /// ENST00000348658 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266 /// ENST00000428126 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266 /// AF124841 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266 /// AY358599 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266 /// BC029554 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266 /// BX647321 // CLEC1B // C-type lectin domain family 1, member B // 12p13.2 // 51266"
7958000,NM_020244,CHPT1,0.5716584778146807,1.5897590800123468e-15,0.5716584778146807,NM_020244 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// XM_005269036 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// ENST00000229266 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// ENST00000546490 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// ENST00000549128 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// ENST00000549872 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// ENST00000552215 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// ENST00000552351 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// AF047431 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// AF111803 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// AF195623 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// AF195624 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// AK093067 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// AK226127 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// BC020819 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// BC050429 // CHPT1 // choline phosphotransferase 1 // 12q // 56994 /// ENST00000550385 // CHPT1 // choline phosphotransferase 1 // 12q // 56994
8156706,NM_001166116,TMOD1,0.5626094615171204,5.4577801161616246e-15,0.5626094615171204,NM_001166116 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111 /// NM_003275 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111 /// ENST00000259365 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111 /// ENST00000375175 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111 /// ENST00000395211 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111 /// AK095748 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111 /// AK314533 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111 /// BC002660 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111 /// M77016 // TMOD1 // tropomodulin 1 // 9q22.3 // 7111
8151592,NM_001128829,CA1,0.5602068349799214,7.52536354547002e-15,0.5602068349799214,NM_001128829 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// NM_001128830 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// NM_001128831 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// NM_001164830 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// NM_001291967 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// NM_001738 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000431316 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000517429 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000517590 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000517618 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000518341 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000521679 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000521846 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000522389 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000522579 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000522814 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000523022 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000523712 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000523953 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000524324 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000542576 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// BC027890 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// EU794595 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// M33987 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// NM_001291968 // CA1 // carbonic anhydrase I // 8q21.2 // 759 /// ENST00000519991 // CA1 // carbonic anhydrase I // 8q21.2 // 759
8095694,NM_002620,PF4V1,0.5459225190212003,4.8220237712543425e-14,0.5459225190212003,NM_002620 // PF4V1 // platelet factor 4 variant 1 // 4q12-q21 // 5197 /// ENST00000226524 // PF4V1 // platelet factor 4 variant 1 // 4q12-q21 // 5197 /// BC130653 // PF4V1 // platelet factor 4 variant 1 // 4q12-q21 // 5197 /// BC130657 // PF4V1 // platelet factor 4 variant 1 // 4q12-q21 // 5197
8173135,NM_000032,ALAS2,0.5367888916279658,1.5112881183780176e-13,0.5367888916279658,"NM_000032 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// NM_001037967 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// NM_001037968 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// ENST00000330807 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// ENST00000335854 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// ENST00000396198 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// ENST00000463868 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// ENST00000477869 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// ENST00000493869 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// ENST00000498636 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// AK290565 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// AK291589 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// BC030230 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212 /// ENST00000455688 // ALAS2 // aminolevulinate, delta-, synthase 2 // Xp11.21 // 212"
8131067,NM_138445,GPR146,0.5312203240153743,2.9823848196950196e-13,0.5312203240153743,NM_138445 // GPR146 // G protein-coupled receptor 146 // 7p22.3 // 115330 /// XM_005249613 // GPR146 // G protein-coupled receptor 146 // 7p22.3 // 115330 /// ENST00000297468 // GPR146 // G protein-coupled receptor 146 // 7p22.3 // 115330 /// ENST00000397095 // GPR146 // G protein-coupled receptor 146 // 7p22.3 // 115330 /// ENST00000444847 // GPR146 // G protein-coupled receptor 146 // 7p22.3 // 115330 /// AK300166 // GPR146 // G protein-coupled receptor 146 // 7p22.3 // 115330 /// BC014241 // GPR146 // G protein-coupled receptor 146 // 7p22.3 // 115330
8180346,,,0.5279164202905218,4.437942085671689e-13,0.5279164202905218,---
8063478,NM_080821,FAM210B,0.5243359687474217,6.79435187704108e-13,0.5243359687474217,"NM_080821 // FAM210B // family with sequence similarity 210, member B // 20q13.2 // 116151 /// ENST00000371384 // FAM210B // family with sequence similarity 210, member B // 20q13.2 // 116151 /// BC017725 // FAM210B // family with sequence similarity 210, member B // 20q13.2 // 116151"
7953901,NM_001207010,CLEC12A,0.5216655746953263,9.304555090619473e-13,0.5216655746953263,"NM_001207010 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// NM_138337 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// NM_201623 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// XM_006719035 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// ENST00000304361 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// ENST00000350667 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// ENST00000355690 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// ENST00000396507 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// ENST00000434319 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// ENST00000543839 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// AF247788 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// AY426759 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// AY498550 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// AY498551 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// AY498552 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// AY547296 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// BC063424 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// BC126289 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// BC126291 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// XM_006719036 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// ENST00000449959 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364 /// BC027967 // CLEC12A // C-type lectin domain family 12, member A // 12p13.2 // 160364"
